servicelocationid,servicelocationuuid,name,deviceserialnumber
48795,660ddaef-8ed2-45f5-97c6-01d743ef9e29,Loevenhoutsedijk (1),5010004002
48797,207e67e6-f195-4d71-9010-054a67a6678b,Loevenhoutsedijk (2),5010003954
63721,f6673b79-b3e4-44cb-b443-7e3ebcc4baaa,TRA - Arnhem,5130000219
63722,3382f2a6-e382-40be-a55c-006d32bbf7bb,TRB - Arnhem,5130000226
63723,2ac986e0-c918-4ef8-a5a8-cdcb96a449a1,TRC - Arnhem,5130000225
63724,33095717-f871-4c98-b73e-eb64100eb2dd,TRD - Arnhem,5130000224
42689,ec81f694-142e-4b8e-99e3-e0e687e93622,Zwolle Roltrappen k1-k9 en k12(L3),5010002372
42698,4a3ee493-bc5c-40e1-a963-3dd0a0217de8,Zwolle Hoofd groep +rest,5010001359
42703,cf473ece-cdfb-4273-8af6-e3eba6857ff4,Zwolle Liften en verlichting,5010002371
63719,93929172-eecc-40ba-9c01-972205cf89e5,Arnhem Verdeelkast A en B - locatie 1,5130000228
63720,88cbecac-f5c6-4cfa-b5a1-42ede2c6228b,Arnhem Verdeelkast C - locatie 1,5130000232
74190,07310ea3-812b-44e5-8145-760d7e021c5e,Kiosk utr 8-9b,5130007289
74194,fce582ac-0632-457a-8056-453276c2e09a,Kiosk utr 8. 9 b 2,5130007306
74222,d507e035-8386-4bd9-a255-9cd2676c8dc3,Kiosk utr sp 11 12 a,5130007290
74223,2c31a460-b89a-4d2c-8f26-9d793519d444,Kiosk utr 11 12 a II,5130007288
75282,578c1392-d0dc-4142-8ba4-250fe0470b15,Kiosk UTR 5-7A II,5130007298
75283,d0bc304f-cf9a-405d-8102-d9a5471b9655,Kiosk UTR spoor5-7 A I,5130008549
75570,492acd22-6f3f-441d-af08-c3f3c4332456,Kiosk Den Bosch 6-7. 1,5130007299
75571,0da25350-9abc-428f-8abb-729e0b12ee70,Kiosk Den Bosch spoor 6-7 (2),5130007291
75641,4da32611-21e5-4a85-a56f-1e4405aa38cf,Ah togo leiden 1,5130008554
75642,8ebf21fa-b531-40b3-93b1-b280b745dff7,Ah togo leiden rail,5130008570
75991,53619b31-4c84-4f93-9596-b1bd94950f6b,Kiosk RTD spoor 11-12,5130007267
77699,1dddb2b5-39ec-49bb-87c3-ae184e998470,AH to go arnhem 2,5130007275
77700,15bd4ea3-41db-4d37-ae13-cb69f09940dc,AH to go arnhem 3,5130007273
77704,5bbf682d-c064-41f6-8729-636f9f575e5f,AH to go arnhem 1,5130007270
85282,47c7e6fe-74cd-429e-baa1-e6f45c44d06f,Julias Eindhoven ,5130016219
88418,52beb6d1-9a80-4bcc-8c7f-aa14e31c8f0f,Julias eindhoven 2,5130016170
92478,b974c3e2-8f32-426e-9455-b713e2ae7687,Julias adam1,5130007307
92480,8ddb2fa4-9831-4d6c-b6f3-459ead75457d,Julias adam2,5130016286
92485,0f4cc938-c971-469d-a91e-8f0dda24ba86,Julias adam3,5130007305
96808,569576ed-2761-47fb-8ea8-bc700f2653f5,PR Barendrecht 1 kkc003,5130007276
96809,e1b37381-ebe7-43d1-8e86-2c34a7e6cab1,PR Barendrecht ekc004. Nr1,5130007309
96810,4c81b070-bed7-40ab-96c5-8bd96139fe52,PR Barendrecht ekc002 deel 3,5130017294
96881,a3ca79b2-aec2-4fd4-9a1b-bbc82e1aee32,PR Barendrecht bg liftkast,5130016985
96886,20ae0b28-5908-4f6c-b5c7-94b12214e61a,PR Barendrecht BG EKC012,5130016984
113791,a009a35e-9baa-4bf7-9a84-50825ee46ef1,ProRail Dordrecht ,5130017297
143976,c7d390ba-9286-4577-9e41-1759d1676dd2,SHK-Driebergen ,5130007287
144941,6d8f594a-584b-41e8-8ac1-86deace58fdf,SHK Weesp,5130016294
